Player,Season,Age,Team,RushAtt,RushYds,RushTD,Pos,ID
Kenny McIntosh,2024,24,SEA,31,172,0,RB,McInKe00
Craig Reynolds,2024,28,DET,31,139,0,RB,ReynCr00
Deshaun Watson,2024,29,CLE,31,148,1,QB,WatsDe00
Michael Carter,2023,24,ARINYJ,30,187,0,RB,CartMi03
Andy Dalton,2022,35,NOR,30,54,0,QB,DaltAn00
Isaiah Davis,2024,22,NYJ,30,174,1,RB,DaviIs00
Ty Johnson,2022,25,NYJ,30,160,1,RB,JohnTy02
Ty Johnson,2023,26,BUF,30,132,0,RB,JohnTy02
Dare Ogunbowale,2024,30,HOU,30,112,0,RB,OgunDa00
Will Shipley,2024,22,PHI,30,82,0,RB,ShipWi00
Matthew Stafford,2024,36,LAR,30,41,0,QB,StafMa00
Tom Brady,2022,45,TAM,29,-1,1,QB,BradTo00
Jared Goff,2022,28,DET,29,73,0,QB,GoffJa00
Nick Chubb,2023,28,CLE,28,170,0,RB,ChubNi00
Taylor Heinicke,2022,29,WAS,28,96,1,QB,HeinTa00
Mac Jones,2024,26,JAX,28,92,1,QB,JoneMa05
Rondale Moore,2023,23,ARI,28,178,1,WR,MoorRo02
Zach Wilson,2022,23,NYJ,28,102,1,QB,WilsZa00
Jake Browning,2023,27,CIN,27,127,3,QB,BrowJa08
Keaontay Ingram,2022,23,ARI,27,60,1,RB,IngrKe01
Matt Ryan,2022,37,IND,27,70,1,QB,RyanMa00
Easton Stick,2023,28,LAC,27,144,1,QB,SticEa00
Malik Willis,2022,23,TEN,27,123,1,QB,WillMa12
Rex Burkhead,2022,32,HOU,26,80,0,RB,BurkRe00
Sam Darnold,2022,25,CAR,26,106,2,QB,DarnSa00
Melvin Gordon,2023,30,BAL,26,81,1,RB,GordMe00
Tyler Huntley,2024,26,MIA,26,135,2,QB,HuntTy01
Mac Jones,2023,25,NWE,26,96,0,QB,JoneMa05
Tony Jones,2023,26,ARINOR,26,95,2,RB,JoneTo04
Trevor Lawrence,2024,25,JAX,26,119,3,QB,LawrTr00
Cooper Rush,2024,31,DAL,26,18,0,QB,RushCo00
Pierre Strong,2024,26,CLE,26,108,0,RB,StroPi00
Deshaun Watson,2023,28,CLE,26,142,1,QB,WatsDe00
Hassan Haskins,2022,23,TEN,25,93,0,RB,HaskHa00
Will Levis,2023,24,TEN,25,57,1,QB,LeviWi00
Jordan Love,2024,26,GNB,25,83,1,QB,LoveJo03
Anthony Richardson,2023,21,IND,25,136,4,QB,RichAn03
Mason Rudolph,2024,29,TEN,25,106,1,QB,RudoMa00
Jameis Winston,2024,30,CLE,25,83,1,QB,WinsJa00
Mike Boone,2022,27,DEN,24,102,0,RB,BoonMi00
Derek Carr,2022,31,LVR,24,102,0,QB,CarrDe02
Emari Demercado,2024,25,ARI,24,223,1,RB,DemeEm00
Trestan Ebner,2022,23,CHI,24,54,0,RB,EbneTr00
Nyheim Hines,2022,26,BUFIND,24,33,1,RB,HineNy00
Ke'Shawn Vaughn,2023,26,TAM,24,42,0,RB,VaugKe00
Tyson Bagent,2023,23,CHI,23,109,2,QB,BageTy00
Raheem Blackshear,2022,23,CAR,23,77,3,RB,BlacRa00
Kirk Cousins,2024,36,ATL,23,0,0,QB,CousKi00
Jimmy Garoppolo,2022,31,SFO,23,33,2,QB,GaroJi00
Damien Harris,2023,26,BUF,23,94,1,RB,HarrDa06
Craig Reynolds,2022,26,DET,23,102,0,RB,ReynCr00
Tua Tagovailoa,2022,24,MIA,23,70,0,QB,TagoTu00
Deuce Vaughn,2023,22,DAL,23,40,0,RB,VaugDe00
Israel Abanikanda,2023,21,NYJ,22,70,0,RB,AbanIs00
Salvon Ahmed,2023,25,MIA,22,61,1,RB,AhmeSa01
Julius Chestnut,2024,24,TEN,22,102,0,RB,ChesJu00
Dontrell Hilliard,2022,27,TEN,22,145,0,RB,HillDo00
J.D. McKissic,2022,29,WAS,22,95,0,RB,McKiJ.00
La'Mical Perine,2023,25,KAN,22,77,0,RB,PeriLa00
Brock Purdy,2022,23,SFO,22,13,1,QB,PurdBr00
Ronnie Rivers,2024,25,LAR,22,99,0,RB,RiveRo01
Aaron Rodgers,2024,41,NYJ,22,107,0,QB,RodgAa00
Carson Wentz,2022,30,WAS,22,86,1,QB,WentCa00
Avery Williams,2022,24,ATL,22,109,1,RB,WillAv02
Sam Darnold,2023,26,SFO,21,15,1,QB,DarnSa00
Jerick McKinnon,2023,31,KAN,21,60,1,RB,McKiJe00
Aidan O'Connell,2024,26,LVR,21,30,1,QB,OConAi00
Matthew Stafford,2023,35,LAR,21,65,0,QB,StafMa00
Dorian Thompson-Robinson,2024,25,CLE,21,122,0,QB,ThomDo02
Darrel Williams,2022,27,ARI,21,102,1,RB,WillDa10
Jeff Driskel,2022,29,HOU,20,75,0,QB,DrisJe00
Jimmy Garoppolo,2023,32,LVR,20,39,0,QB,GaroJi00
Jamycal Hasty,2024,28,NWE,20,69,0,RB,HastJa02
Jordan Mims,2024,25,NOR,20,70,0,RB,MimsJo00
Samaje Perine,2024,29,KAN,20,92,1,RB,PeriSa00
Jayden Reed,2024,24,GNB,20,163,1,WR,ReedJa03
Boston Scott,2023,28,PHI,20,86,0,RB,ScotBo02
Benny Snell Jr.,2022,24,PIT,20,90,1,RB,SnelBe00
Malik Willis,2024,25,GNB,20,138,1,QB,WillMa12
Xavier Worthy,2024,21,KAN,20,104,3,WR,WortXa00
Chris Brooks,2023,23,MIA,19,106,0,RB,BrooCh00
Travis Homer,2022,24,SEA,19,74,0,RB,HomeTr00
Gardner Minshew II,2024,28,LVR,19,58,0,QB,MinsGa00
Bryce Perkins,2022,26,LAR,19,90,0,QB,PerkBr02
Mitchell Trubisky,2022,28,PIT,19,38,2,QB,TrubMi00
Malcolm Brown,2022,29,LAR,18,81,1,RB,BrowMa03
Kevin Harris,2022,22,NWE,18,52,1,RB,HarrKe01
Drew Lock,2024,28,NYG,18,133,2,QB,LockDr00
Marcus Mariota,2024,31,WAS,18,92,1,QB,MariMa01
Spencer Rattler,2024,24,NOR,18,146,0,QB,RattSp00
Isaiah Spiller,2022,21,LAC,18,41,0,RB,SpilIs00
Brandon Bolden,2022,32,LVR,17,66,0,RB,BoldBr00
Derek Carr,2024,33,NOR,17,71,1,QB,CarrDe02
Sam Ehlinger,2022,24,IND,17,87,0,QB,EhliSa00
Eric Gray,2023,24,NYG,17,48,0,RB,GrayEr01
Ronald Jones II,2022,25,KAN,17,70,1,RB,JoneRo01
Aidan O'Connell,2023,25,LVR,17,11,1,QB,OConAi00
Jaret Patterson,2022,23,WAS,17,78,0,RB,PattJa01
Brandon Powell,2022,27,LAR,17,80,0,WR,PoweBr00
Tua Tagovailoa,2024,26,MIA,17,49,0,QB,TagoTu00
Ryan Tannehill,2023,35,TEN,17,74,1,QB,TannRy00
Mitchell Trubisky,2024,30,BUF,17,1,0,QB,TrubMi00
Deuce Vaughn,2024,23,DAL,17,70,0,RB,VaugDe00
Ke'Shawn Vaughn,2022,25,TAM,17,53,0,RB,VaugKe00
Carson Wentz,2023,31,LAR,17,56,1,QB,WentCa00
Zamir White,2022,23,LVR,17,70,0,RB,WhitZa01
Bailey Zappe,2023,24,NWE,17,83,1,QB,ZappBa00
Kevin Harris,2023,23,NWE,16,65,1,RB,HarrKe01
Trey Lance,2022,22,SFO,16,67,0,QB,LancTr00
Marlon Mack,2022,26,DENSFO,16,84,1,RB,MackMa00
Desmond Ridder,2022,23,ATL,16,64,0,QB,RiddDe00
Mitchell Trubisky,2023,29,PIT,16,54,2,QB,TrubMi00
KaVontae Turpin,2024,28,DAL,16,92,0,WR,TurpKa00
Jeff Wilson,2024,29,MIA,16,57,0,RB,WilsJe01
Ameer Abdullah,2023,30,LVR,15,89,0,RB,AbduAm00
Raheem Blackshear,2024,25,CAR,15,80,0,RB,BlacRa00
Jacoby Brissett,2024,32,NWE,15,62,0,QB,BrisJa00
Corey Clement,2022,28,ARI,15,55,1,RB,ClemCo00
Taylor Heinicke,2023,30,ATL,15,124,1,QB,HeinTa00
Tyler Huntley,2023,25,BAL,15,55,0,QB,HuntTy01
Phillip Lindsay,2022,28,IND,15,49,0,RB,LindPh00
Trace McSorley,2022,27,ARI,15,61,0,QB,McSoTr00
Keaton Mitchell,2024,22,BAL,15,30,0,RB,MitcKe01
Sean Tucker,2023,22,TAM,15,23,0,RB,TuckSe00
Trayveon Williams,2023,26,CIN,15,69,0,RB,WillTr06
Raheem Blackshear,2023,24,CAR,14,46,0,RB,BlacRa00
Kirk Cousins,2023,35,MIN,14,25,0,QB,CousKi00
Derius Davis,2023,23,LAC,14,101,0,WR,DaviDe02
Darrynton Evans,2022,24,CHI,14,64,0,RB,EvanDa02
Eric Gray,2024,25,NYG,14,31,0,RB,GrayEr01
Deon Jackson,2023,24,CLEINDNYG,14,16,0,RB,JackDe02
CeeDee Lamb,2023,24,DAL,14,113,2,WR,LambCe00
CeeDee Lamb,2024,25,DAL,14,70,0,WR,LambCe00
Colt McCoy,2022,36,ARI,14,36,0,QB,McCoCo00
D.J. Moore,2024,27,CHI,14,75,0,WR,MoorD.00
Jarrett Stidham,2022,26,LVR,14,84,0,QB,StidJa00
Dorian Thompson-Robinson,2023,24,CLE,14,65,0,QB,ThomDo02
Skylar Thompson,2022,25,MIA,14,21,0,QB,ThomSk00
Emanuel Wilson,2023,24,GNB,14,85,0,RB,WilsEm00
Kyle Allen,2023,27,BUF,13,-13,0,QB,AlleKy00
Mike Boone,2024,29,CAR,13,51,0,RB,BoonMi00
Clyde Edwards-Helaire,2024,25,NOR,13,46,0,RB,EdwaCl00
Tyler Goodson,2023,23,IND,13,87,0,RB,GoodTy00
Terrell Jennings,2024,23,NWE,13,33,0,RB,JennTe00
Jase McClellan,2024,22,ATL,13,32,0,RB,McClJa05
Marvin Mims,2024,22,DEN,13,42,0,WR,MimsMa00
Dak Prescott,2024,31,DAL,13,54,1,QB,PresDa01
Larry Rountree,2022,23,LAC,13,19,0,RB,RounLa00
Steven Sims,2022,25,PIT,13,70,0,WR,SimsSt00
Matthew Stafford,2022,34,LAR,13,9,1,QB,StafMa00
P.J. Walker,2023,28,CLE,13,30,0,QB,WalkPh00
Jordan Wilkins,2022,28,IND,13,58,0,RB,WilkJo01
Jamal Agnew,2022,27,JAX,12,86,0,WR,AgneJa00
Salvon Ahmed,2022,24,MIA,12,64,1,RB,AhmeSa01
Tevin Coleman,2022,29,SFO,12,26,1,RB,ColeTe01
Snoop Conner,2022,23,JAX,12,42,1,RB,ConnSn00
Derius Davis,2024,24,LAC,12,39,0,WR,DaviDe02
Devin Duvernay,2022,25,BAL,12,84,1,WR,DuveDe00
Leonard Fournette,2023,28,BUF,12,40,0,RB,FourLe00
David Johnson,2022,31,NOR,12,24,0,RB,JohnDa08
Hunter Luepke,2024,24,DAL,12,38,0,RB,LuepHu00
Puka Nacua,2023,22,LAR,12,89,0,WR,NacuPu00
Cooper Rush,2023,30,DAL,12,-5,0,QB,RushCo00
Laviska Shenault Jr.,2023,25,CAR,12,55,0,WR,ShenLa00
Calvin Austin III,2023,24,PIT,11,57,1,WR,AustCa00
Tyler Badie,2024,24,DEN,11,86,0,RB,BadiTy00
Andy Dalton,2024,37,CAR,11,34,0,QB,DaltAn00
Tank Dell,2023,24,HOU,11,51,0,WR,DellNa00
Jake Haener,2024,25,NOR,11,22,0,QB,HaenJa00
Trey Lance,2024,24,DAL,11,41,0,QB,LancTr00
Puka Nacua,2024,23,LAR,11,46,1,WR,NacuPu00
Rashaad Penny,2023,27,PHI,11,33,0,RB,PennRa00
Jayden Reed,2023,23,GNB,11,119,2,WR,ReedJa03
Trevor Siemian,2023,32,NYJ,11,40,0,QB,SiemTr00
Kadarius Toney,2023,24,KAN,11,31,0,WR,ToneKa00
KaVontae Turpin,2023,27,DAL,11,110,1,WR,TurpKa00
Dwayne Washington,2022,28,NOR,11,38,0,RB,WashDw00
Damien Williams,2023,31,ARI,11,43,0,RB,WillDa05
Jameson Williams,2024,23,DET,11,61,1,WR,WillJa11
Rasheen Ali,2024,23,BAL,10,31,0,RB,AlixRa00
DeeJay Dallas,2023,25,SEA,10,36,0,RB,DallDe00
Myles Gaskin,2022,25,MIA,10,26,0,RB,GaskMy00
Alec Ingold,2024,28,MIA,10,17,1,FB,IngoAl01
Tony Jones,2022,25,NORSEA,10,24,0,RB,JoneTo04
CeeDee Lamb,2022,23,DAL,10,47,0,WR,LambCe00
Ray-Ray McCloud,2024,28,ATL,10,79,0,WR,McClRa00
Joe Milton,2024,24,NWE,10,16,1,QB,MiltJo00
D.J. Moore,2022,25,CAR,10,53,0,WR,MoorD.00
Nick Mullens,2023,28,MIN,10,25,0,QB,MullNi00
Mason Rudolph,2023,28,PIT,10,8,0,QB,RudoMa00
Pierre Strong,2022,24,NWE,10,100,1,RB,StroPi00
J.J. Taylor,2022,24,NWE,10,9,0,RB,TaylJJ01
J.J. Taylor,2024,26,HOU,10,44,0,RB,TaylJJ01
Patrick Taylor,2022,24,GNB,10,31,0,RB,TaylPa01
Tre Tucker,2023,22,LVR,10,77,0,WR,TuckTr00
Bailey Zappe,2022,23,NWE,10,0,0,QB,ZappBa00
Tutu Atwell,2022,23,LAR,9,34,1,WR,AtweTu00
Braxton Berrios,2022,27,NYJ,9,91,2,WR,BerrBr00
Gary Brightwell,2023,24,NYG,9,19,0,RB,BrigGa00
Jonathon Brooks,2024,21,CAR,9,22,0,RB,BrooJo02
Spencer Brown,2022,24,CAR,9,43,0,RB,BrowSp01
Julius Chestnut,2022,22,TEN,9,12,0,RB,ChesJu00
Chase Claypool,2022,24,CHIPIT,9,59,0,WR,ClayCh01
DeeJay Dallas,2024,26,ARI,9,49,0,RB,DallDe00
Tank Dell,2024,25,HOU,9,43,0,WR,DellNa00
Joshua Dobbs,2024,29,SFO,9,24,2,QB,DobbJo00
Zach Evans,2023,22,LAR,9,19,0,RB,EvanZa00
Joe Flacco,2023,38,CLE,9,2,0,QB,FlacJo00
Joe Flacco,2024,39,IND,9,26,0,QB,FlacJo00
Zay Flowers,2024,24,BAL,9,56,0,WR,FlowZa00
Velus Jones Jr.,2022,25,CHI,9,103,1,WR,JoneVe00
Cooper Kupp,2022,29,LAR,9,52,1,WR,KuppCo00
Isaiah McKenzie,2022,27,BUF,9,55,1,WR,McKeIs00
Marvin Mims,2023,21,DEN,9,30,0,WR,MimsMa00
Elijah Moore,2023,23,CLE,9,11,0,WR,MoorEl00
Kene Nwangwu,2022,24,MIN,9,14,0,RB,NwanKe00
Kenny Pickett,2024,26,PHI,9,15,1,QB,PickKe00
Desmond Ridder,2024,25,LVR,9,36,0,QB,RiddDe00
Calvin Ridley,2023,29,JAX,9,23,0,WR,RidlCa00
Ronnie Rivers,2022,23,LAR,9,21,0,RB,RiveRo01
Wan'Dale Robinson,2023,22,NYG,9,87,1,WR,RobiWa01
Cooper Rush,2022,29,DAL,9,6,0,QB,RushCo00
Laviska Shenault Jr.,2022,24,CAR,9,65,1,WR,ShenLa00
Jarrett Stidham,2023,27,DEN,9,8,0,QB,StidJa00
Chris Streveler,2022,27,NYJ,9,54,0,QB,StreCh00
Amon-Ra St. Brown,2022,23,DET,9,95,0,WR,StxxAm00
Tre Tucker,2024,23,LVR,9,44,1,WR,TuckTr00
Derek Watt,2022,30,PIT,9,21,1,FB,WattDe00
C.J. Beathard,2023,30,JAX,8,35,0,QB,BeatC.00
Giovani Bernard,2022,31,TAM,8,28,0,RB,BernGi00
Khari Blasingame,2023,27,CHI,8,26,0,FB,BlasKh00
Dalvin Cook,2024,29,DAL,8,20,0,RB,CookDa01
Mike Davis,2022,29,BAL,8,18,0,RB,DaviMi01
Tommy DeVito,2024,26,NYG,8,32,0,QB,DeViTo00
J.K. Dobbins,2023,25,BAL,8,22,1,RB,DobbJK00
Joshua Dobbs,2022,27,TEN,8,44,0,QB,DobbJo00
Demario Douglas,2023,23,NWE,8,41,0,WR,DougDe00
Zay Flowers,2023,23,BAL,8,56,1,WR,FlowZa00
Jerome Ford,2022,23,CLE,8,12,0,RB,FordJe00
Xavier Gipson,2023,22,NYJ,8,68,1,WR,GipsXa00
Tyreek Hill,2024,30,MIA,8,53,0,WR,HillTy00
Velus Jones Jr.,2023,26,CHI,8,51,0,WR,JoneVe00
Marcus Mariota,2023,30,PHI,8,52,0,QB,MariMa01
Bo Melton,2024,25,GNB,8,54,0,WR,MeltBo00
Dare Ogunbowale,2023,29,HOU,8,35,0,RB,OgunDa00
Gunner Olszewski,2022,26,PIT,8,39,0,WR,OlszGu00
Calvin Ridley,2024,30,TEN,8,55,1,WR,RidlCa00
Sterling Shepard,2024,31,TAM,8,69,0,WR,ShepSt00
Ihmir Smith-Marsette,2023,24,CAR,8,74,1,WR,SmitIh00
Deven Thompkins,2023,24,TAM,8,56,0,WR,ThomDe07
Clayton Tune,2023,24,ARI,8,30,1,QB,TuneCl00
Mike White,2023,28,MIA,8,-9,0,QB,WhitMi01
John Wolford,2022,27,LAR,8,32,0,QB,WolfJo00
Michael Burton,2023,31,DEN,7,9,0,FB,BurtMi00
Michael Burton,2024,32,DEN,7,8,1,FB,BurtMi00
Greg Dortch,2022,24,ARI,7,44,0,WR,DortGr01
Jeff Driskel,2023,30,CLE,7,33,0,QB,DrisJe00
Blaine Gabbert,2023,34,KAN,7,45,0,QB,GabbBl00
Tyreek Hill,2022,28,MIA,7,32,1,WR,HillTy00
Diontae Johnson,2022,26,PIT,7,25,0,WR,JohnDi01
Kyle Juszczyk,2022,31,SFO,7,26,1,FB,JuszKy00
Terry McLaurin,2022,27,WAS,7,29,0,WR,McLaTe00
Gardner Minshew II,2022,26,PHI,7,3,1,QB,MinsGa00
Michael Penix,2024,24,ATL,7,11,1,QB,PeniMi00
Kalif Raymond,2022,28,DET,7,36,0,WR,RaymKa00
Kalif Raymond,2023,29,DET,7,75,0,WR,RaymKa00
Patrick Ricard,2022,28,BAL,7,16,0,FB,RicaPa00
Curtis Samuel,2023,27,WAS,7,39,1,WR,SamuCu00
Tyler Scott,2023,22,CHI,7,41,0,WR,ScotTy00
Rashid Shaheed,2023,25,NOR,7,37,0,WR,ShahRa00
Kadarius Toney,2022,23,KANNYG,7,82,1,WR,ToneKa00
Clayton Tune,2024,25,ARI,7,-4,0,QB,TuneCl00
Christian Watson,2022,23,GNB,7,80,2,WR,WatsCh00
Kyle Allen,2022,26,HOU,6,13,0,QB,AlleKy00
Tyson Bagent,2024,24,CHI,6,-7,0,QB,BageTy00
Kendrick Bourne,2022,27,NWE,6,39,0,WR,BourKe00
Ty Chandler,2022,24,MIN,6,20,0,RB,ChanTy01
Tyrion Davis-Price,2023,23,SFO,6,21,0,RB,DaviTy03
Jaren Hall,2023,25,MIN,6,14,0,QB,HallJa00
Tyreek Hill,2023,29,MIA,6,15,0,WR,HillTy00
Travis Homer,2024,26,CHI,6,23,0,RB,HomeTr00
Alec Ingold,2022,26,MIA,6,8,1,FB,IngoAl01
Jermar Jefferson,2024,24,DET,6,22,0,RB,JeffJe00
Xavier Legette,2024,23,CAR,6,24,0,WR,LegeXa00
MarShawn Lloyd,2024,23,GNB,6,15,0,RB,LloyMa00
Hunter Luepke,2023,23,DAL,6,19,1,RB,LuepHu00
Anthony McFarland Jr.,2022,24,PIT,6,30,0,RB,McFaAn00
Rondale Moore,2022,22,ARI,6,-5,0,WR,MoorRo02
Brett Rypien,2022,26,DEN,6,7,0,QB,RypiBr00
Rashid Shaheed,2024,26,NOR,6,29,0,WR,ShahRa00
Aaron Shampklin,2024,25,PIT,6,17,0,RB,ShamAa00
Equanimeous St. Brown,2022,26,CHI,6,54,0,WR,St.BEq00
Brian Thomas,2024,22,JAX,6,48,0,WR,ThomBr06
Sione Vaki,2024,23,DET,6,14,0,RB,VakiSi00
P.J. Walker,2022,27,CAR,6,39,0,QB,WalkPh00
Davis Webb,2022,27,NYG,6,41,1,QB,WebbDa00
Mike White,2022,27,NYJ,6,9,1,QB,WhitMi01
Trayveon Williams,2022,25,CIN,6,30,0,RB,WillTr06
Tutu Atwell,2023,24,LAR,5,31,0,WR,AtweTu00
Andrew Beck,2023,27,HOU,5,3,1,FB,BeckAn01
Mike Boone,2023,28,HOU,5,23,0,S,BoonMi00
Lynn Bowden Jr.,2023,26,NOR,5,32,0,WR,BowdLy00
Brock Bowers,2024,22,LVR,5,13,0,TE,BoweBr01
Harrison Bryant,2023,25,CLE,5,8,0,TE,BryaHa00
Treylon Burks,2023,23,TEN,5,18,0,WR,BurkTr00
Michael Burton,2022,30,KAN,5,7,0,RB,BurtMi00
Parris Campbell,2022,25,IND,5,58,0,WR,CampPa00
Ja'Marr Chase,2022,22,CIN,5,8,0,WR,ChasJa00
Chris Collier,2024,24,LVRBAL,5,12,0,RB,CollCh01
Brandin Cooks,2023,30,DAL,5,35,0,WR,CookBr00
Greg Dortch,2024,26,ARI,5,31,0,WR,DortGr01
Ashton Dulin,2024,27,IND,5,45,0,WR,DuliAs00
Erik Ezukanma,2023,23,MIA,5,22,0,WR,EzukEr00
Mecole Hardman,2024,26,KAN,5,62,1,WR,HardMe00
Chad Henne,2022,37,KAN,5,-5,0,QB,HennCh01
Hendon Hooker,2024,26,DET,5,2,0,QB,HookHe00
Sam Howell,2022,22,WAS,5,35,1,QB,HoweSa00
Xavier Hutchinson,2023,23,HOU,5,49,0,WR,HutcXa00
Julio Jones,2022,33,TAM,5,45,0,WR,JoneJu02
Kyle Juszczyk,2023,32,SFO,5,6,0,FB,JuszKy00
Kyle Juszczyk,2024,33,SFO,5,26,1,FB,JuszKy00
Case Keenum,2022,34,BUF,5,0,0,QB,KeenCa00
Jacob Kibodi,2024,26,CLE,5,24,0,RB,KiboJa00
Christian Kirk,2022,26,JAX,5,11,0,WR,KirkCh01
Drew Lock,2023,27,SEA,5,14,0,QB,LockDr00
Tanner McKee,2024,24,PHI,5,-1,0,QB,McKeTa01
Elijah Moore,2022,22,NYJ,5,5,0,WR,MoorEl00
Malik Nabers,2024,21,NYG,5,2,0,WR,NabeMa00
Kene Nwangwu,2023,25,MIN,5,13,0,RB,NwanKe00
Brandon Powell,2023,28,MIN,5,17,0,WR,PoweBr00
Curtis Samuel,2024,28,BUF,5,14,0,WR,SamuCu00
Jaxon Smith-Njigba,2024,22,SEA,5,26,0,WR,SmitJa06
Nate Sudfeld,2022,29,DET,5,-4,0,QB,SudfNa00
Tyrod Taylor,2022,33,NYG,5,70,0,QB,TaylTy00
Kyle Trask,2024,26,TAM,5,-4,0,QB,TrasKy00
DJ Turner,2024,27,LVR,5,33,1,WR,TurnDJ00
Jonathan Ward,2022,25,ARITEN,5,25,0,RB,WardJo00
Jonathan Ward,2024,27,PIT,5,22,0,RB,WardJo00
Malik Washington,2024,23,MIA,5,25,1,WR,WashMa00
Montrell Washington,2022,23,DEN,5,30,0,WR,WashMo00
Malik Willis,2023,24,TEN,5,21,0,QB,WillMa12
Jameis Winston,2022,28,NOR,5,16,0,QB,WinsJa00
Jameis Winston,2023,29,NOR,5,-6,0,QB,WinsJa00
Ameer Abdullah,2022,29,LVR,4,20,0,RB,AbduAm00
Jamal Agnew,2023,28,JAX,4,-2,0,WR,AgneJa00
Mark Andrews,2024,29,BAL,4,5,0,TE,AndrMa00
C.J. Beathard,2022,29,JAX,4,-4,0,QB,BeatC.00
David Blough,2022,27,ARI,4,5,0,QB,BlouDa00
Brandon Bolden,2023,33,LVR,4,31,1,RB,BoldBr00
Tim Boyle,2023,29,NYJ,4,5,0,QB,BoylTi00
Treylon Burks,2022,22,TEN,4,47,0,WR,BurkTr00
